,,,,,Mon,,,Tue,,,Wed,,,Thu,,,Fri,,,Sat,,,Sun
title,day,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views
안귀령,Fri,388,,총합계,7939,,총합계,5895,,총합계,2675,,총합계,2940,,총합계,4753,,총합계,1505,,총합계,997
조국_(법학자),Tue,156,,전공의,153,,조국_(법학자),156,,전공의,106,,여배우_공작단,98,,안귀령,388,,설날_(한국),108,,이강인,73
황선홍,Tue,154,,안귀령,150,,황선홍,154,,이승만,91,,모니카_르윈스키,93,,함운경,134,,사순절,59,,쿠팡,48
전공의,Mon,153,,부영그룹,147,,정몽규,108,,ChatGPT,61,,3·1절,65,,정월_대보름,114,,쿠팡,56,,치지직,43
안귀령,Mon,150,,김영주_(1955년),113,,전현희,99,,티모시_샬라메,59,,백정원,65,,도봉구_갑,86,,치지직,49,,배복주,39
부영그룹,Mon,147,,미노이,109,,발렌타인데이,97,,다음,54,,티모시_샬라메,59,,AFC_아시안컵,70,,에펨코리아,43,,ChatGPT,34
함운경,Fri,134,,대한민국의_국민연금,104,,이창희_(영화_감독),78,,수직농업,54,,오타니_쇼헤이,57,,노웅래,70,,김설현,41,,지구_온난화,33
정월_대보름,Fri,114,,지구_온난화,86,,이재욱_(1998년),72,,국가별_국가_코드_목록,51,,모건_프리먼,56,,다음,70,,설날,41,,아프리카TV,31
김영주_(1955년),Mon,113,,윤태식,82,,오지영_(배구_선수),68,,대한민국의_국민연금,46,,윤년,52,,전공의,70,,대한민국의_국민연금,38,,알레산드로_볼타,31
미노이,Mon,109,,AFC_아시안컵,81,,여주시장,67,,쿠팡,45,,에펨코리아,49,,쿠팡,65,,아프리카TV,37,,대한민국의_국민연금,30
정몽규,Tue,108,,이재용,79,,트위치,67,,방실이,42,,한국교육방송공사,49,,제시_린가드,57,,한국교육방송공사,37,,뮤토렌트,30
설날_(한국),Sat,108,,이창희_(영화_감독),79,,안귀령,66,,한국교육방송공사,41,,윤달,48,,국가별_국가_코드_목록,56,,아린,33,,박태균,30
