,,,,,Mon,,,Tue,,,Wed,,,Thu,,,Fri,,,Sat,,,Sun
title,day,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views
전공의,Wed,200,,총합계,3566,,총합계,7690,,총합계,2908,,총합계,4174,,총합계,2851,,총합계,2301,,총합계,2017
함운경,Fri,194,,부영그룹,139,,전현희,171,,전공의,200,,권도형,147,,함운경,194,,SBS_8_뉴스,119,,신장식,179
신장식,Sun,179,,이재용,91,,조국_(법학자),149,,대한민국의_아카데미_국제영화상_출품작,61,,유승희,88,,정월_대보름,134,,설날_(한국),112,,SBS_TV,84
전현희,Tue,171,,미노이,90,,고민정,147,,한국교육방송공사,61,,닐_모페이,85,,노웅래,81,,AFC_아시안컵,89,,이강인,57
조국_(법학자),Tue,149,,AFC_아시안컵,87,,이재욱_(1998년),128,,제곱미터,59,,황정음,84,,대한민국의_국민연금,60,,베네치아_사육제,57,,도전_1000곡,54
고민정,Tue,147,,용인시_갑,78,,대한민국의_아카데미_국제영화상_출품작,119,,FIFA_월드컵_참가국,54,,전공의,83,,전공의,58,,린다의_신기한_여행,56,,쿠팡,48
권도형,Thu,147,,위성정당,58,,안귀령,102,,에펨코리아,52,,대한민국의_국민연금,65,,2024년_코리아컵,55,,사순절,55,,에펨코리아,44
부영그룹,Mon,139,,구글_번역,55,,최동석,88,,로마_숫자,51,,에펨코리아,63,,황정음,50,,쿠팡,48,,멜라니_디아즈,40
정월_대보름,Fri,134,,강감찬,51,,이창희_(영화_감독),85,,다음,45,,다음,59,,엔비디아,49,,한국교육방송공사,44,,한국교육방송공사,39
이재욱_(1998년),Tue,128,,주기율표,49,,AFC_아시안컵,79,,쿠팡,45,,국가별_국가_코드_목록,58,,배지현,45,,아프리카TV,42,,치지직,37
대한민국의_아카데미_국제영화상_출품작,Tue,119,,쿠팡,49,,중구·성동구_갑,79,,추혁진,44,,쿠팡,58,,젠슨_황,45,,대한민국의_AFC_아시안컵_성적,40,,로마_숫자,35
SBS_8_뉴스,Sat,119,,대한민국의_국민연금,48,,정몽규,78,,히포크라테스_선서,43,,정월_대보름,52,,다음,40,,살인자ㅇ난감,39,,최민식,35
설날_(한국),Sat,112,,박신혜,48,,발렌타인데이,77,,대한민국의_국민연금,41,,AFC_아시안컵,51,,ChatGPT,39,,위르겐_클린스만,39,,삼국지_(인형극),34
안귀령,Tue,102,,제곱미터,41,,쿠팡,71,,ChatGPT,39,,주기율표,51,,티모시_샬라메,38,,2023년_AFC_아시안컵,38,,박태균,31
이재용,Mon,91,,국가별_국가_코드_목록,40,,나훈아,67,,국가별_국가_코드_목록,39,,로마_숫자,45,,임혁백,37,,대한민국의_국민연금,36,,고려_태조,30
미노이,Mon,90,,로마_숫자,39,,대한민국의_국민연금,65,,대한민국,39,,미리캔버스,45,,이승만,36,,에펨코리아,35,,ChatGPT,28
AFC_아시안컵,Sat,89,,에펨코리아,39,,이범호,62,,주기율표,36,,제곱미터,45,,쿠팡,36,,허일,34,,대니_구,28
최동석,Tue,88,,한지민_(의사),39,,카리나_(가수),60,,방실이,35,,신현영,44,,한국교육방송공사,36,,지구_온난화,32,,우당탕탕_패밀리,27
유승희,Thu,88,,2023년_AFC_아시안컵,37,,국가별_국가_코드_목록,58,,티모시_샬라메,33,,한국교육방송공사,44,,로마_숫자,35,,미스터_&_미세스_스미스_(드라마),31,,정원철_(음악가),27
AFC_아시안컵,Mon,87,,노정의,37,,민동기,58,,5·18_광주_민주화_운동,32,,류현진,43,,성체줄기세포,35,,설날,29,,대한민국,26
