,,,,,Mon,,,Tue,,,Wed,,,Thu,,,Fri,,,Sat,,,Sun
title,day,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views
제2차_세계_대전,Tue,927,,총합계,6612,,총합계,11413,,총합계,7892,,총합계,6806,,총합계,11031,,총합계,1322,,총합계,1251
큐넷,Tue,739,,양정아,505,,제2차_세계_대전,927,,빌리_아일리시,339,,과학사,223,,데이비드_베컴,608,,페로_제도,238,,스웨덴,72
데이비드_베컴,Fri,608,,박기량_(치어리더),121,,큐넷,739,,2026년_FIFA_월드컵_아시아_지역_예선,229,,정은채,147,,카카,471,,김영주_(1955년),75,,조국혁신당,64
아베_신조,Tue,596,,김영주_(1955년),120,,아베_신조,596,,김영옥_(배우),147,,정봉주,118,,레알_마드리드_CF,336,,2024년_대한민국의_텔레비전_드라마_목록,50,,분열조직,60
모노크롬_모니터,Tue,511,,조국혁신당,100,,모노크롬_모니터,511,,윈도우_11,130,,인공지능,109,,검투사,260,,종려주일,47,,종려주일,59
양정아,Mon,505,,주기율표,94,,6.25_전쟁,297,,황상무,121,,김부남_사건,98,,나라_목록,236,,티켓링크,47,,메르타_아브_스베리예,53
카카,Fri,471,,구글의_이스터_에그_목록,91,,5_Seconds_of_Summer_(음반),258,,춘분,113,,공학,90,,국제_여성의_날,192,,조국혁신당,41,,2024년_대한민국의_텔레비전_드라마_목록,50
빌리_아일리시,Wed,339,,강감찬,81,,All_the_Way..._A_Decade_of_Song,244,,강미정,112,,김영옥_(배우),90,,몬트리올,166,,오지혜,40,,눈물의_여왕,41
레알_마드리드_CF,Fri,336,,카카오톡,78,,Good_Girl_Gone_Bad,244,,주기율표,105,,구글의_이스터_에그_목록,82,,정서주,156,,류준열,39,,스웨덴의_역사,40
6.25_전쟁,Tue,297,,황상무,67,,토성의_고리,209,,구글의_이스터_에그_목록,104,,주기율표,76,,조국_(법학자),142,,부여군수,39,,디지몬_고스트_게임,38
검투사,Fri,260,,신윤주,64,,정준영,207,,국제_행복의_날,104,,대한민국의_행정_구역,74,,아드리아나_리마,136,,앤서니_조슈아,39,,미녀와_순정남,36
5_Seconds_of_Summer_(음반),Tue,258,,카이랄성_(화학),62,,올림픽_메달_집계,176,,윈도우_10의_제거된_기능,98,,권도형,73,,구글의_이스터_에그_목록,133,,윤덕영,38,,한국교육방송공사,36
Good_Girl_Gone_Bad,Tue,244,,남희석,59,,2018년_동계_올림픽,151,,젠슨_황,90,,이종섭_(군인),68,,다카,119,,황상무,37,,성_파트리치오_축일,35
