,,,,,Mon,,,Tue,,,Wed,,,Thu,,,Fri,,,Sat,,,Sun
All_the_Way..._A_Decade_of_Song,Tue,244,,대한민국_제22대_국회의원_선거,58,,안귀령,132,,지구,90,,조국_(법학자),66,,2026년_FIFA_월드컵_아시아_지역_예선,112,,로드_하우스_(2024년_영화),36,,파묘,35
페로_제도,Sat,238,,국가별_국가_코드_목록,57,,조두순,118,,에바_가드너,80,,카카오톡,65,,3·1절,105,,이우리,34,,부활절,33
나라_목록,Fri,236,,다음,56,,Girlfriend_(에이브릴_라빈의_노래),114,,윤종용,76,,박은정_(검사),64,,정봉주,104,,부활절,32,,박태준_(1927년),32
2026년_FIFA_월드컵_아시아_지역_예선,Wed,229,,전종서,56,,구글의_이스터_에그_목록,108,,대한민국_제21대_국회의원_선거,75,,화이트데이,63,,토론토,97,,상태_기계_복제,31,,상태_기계_복제,31
과학사,Thu,223,,ASCII,55,,Dangerous_(마이클_잭슨의_음반),96,,윤태영_(배우),74,,안토니오_비발디,61,,성금요일,90,,조국_(법학자),31,,백마법,29
토성의_고리,Tue,209,,김영주,54,,조국_(법학자),93,,방송통신고등학교,72,,HTML,60,,인터_마이애미_CF,86,,쿠팡,31,,태양권,29
정준영,Tue,207,,제곱미터,54,,1896년_하계_올림픽,92,,ChatGPT,71,,아일릿,59,,태양,86,,몰로키야,30,,에펨코리아,28
국제_여성의_날,Fri,192,,인공지능,53,,정봉주,89,,저우샤오한,69,,2026년_FIFA_월드컵_아시아_지역_예선,58,,김영삼,85,,오타니_쇼헤이,29,,용인시_정,28
올림픽_메달_집계,Tue,176,,파묘,53,,주기율표,84,,정봉주,69,,한자,57,,데이비드_블랙웰,79,,7인의_부활,26,,이벤트_호라이즌,28
몬트리올,Fri,166,,고려-거란_전쟁,52,,신동욱_(방송인),79,,윈도우_폰_7,64,,빅_데이터,56,,조지_숄티,79,,에펨코리아,26,,화성시_을,28
정서주,Fri,156,,조국_(법학자),52,,프랑스,77,,2026년_FIFA_월드컵_아시아_지역_2차_예선,63,,다음,55,,그레이스_호퍼,78,,오현경_(1936년),26,,김새론,27
2018년_동계_올림픽,Tue,151,,광산구_을,51,,박성중,72,,인공지능,63,,조배숙,55,,마이애미_MLS_팀,77,,한국교육방송공사,26,,대한민국_제22대_국회의원_선거,27
김영옥_(배우),Wed,147,,구글_번역,50,,카카오톡,70,,서계_사건,61,,대한민국_제22대_국회의원_선거,54,,손명순,76,,대한민국,25,,이우리,26
정은채,Thu,147,,로마_숫자,50,,인공지능,69,,조국_(법학자),61,,슈가애플,53,,ASCII,75,,다음,24,,전민기,26
조국_(법학자),Fri,142,,한자,50,,서초구_을,67,,ASCII,60,,4·19_혁명,52,,조국혁신당,75,,서울보건대학,24,,강감찬,25
아드리아나_리마,Fri,136,,황대헌,50,,양정아,67,,올리비아_로드리고,60,,6월_민주_항쟁,52,,주기율표,74,,지구_온난화,24,,조국_(법학자),25
구글의_이스터_에그_목록,Fri,133,,2024년_대한민국의_텔레비전_드라마_목록,49,,5·18_광주_민주화_운동,64,,운영체제,60,,CSS,52,,권도형,73,,호산나,24,,토렌트,25
안귀령,Tue,132,,무안군수,49,,대한민국,62,,대한민국의_대통령_목록,59,,웹,52,,도태우,71,,대한민국_제22대_국회의원_선거,23,,호산나,25
윈도우_11,Wed,130,,ChatGPT,48,,빅_데이터,62,,배임죄,59,,인구순_나라_목록,51,,인공지능,68,,대한민국의_대통령,23,,대한민국,24
황상무,Wed,121,,대한민국의_대통령_목록,46,,제4차_산업혁명,61,,윌리엄_볼드윈,59,,조두순,51,,오재원,65,,토리야마_아키라,23,,대한민국의_국민연금,24
박기량_(치어리더),Mon,121,,동아일보_백지_광고_사태,46,,4·19_혁명,60,,2015년,57,,ASCII,50,,소프트웨어,63,,김홍도,22,,7인의_부활,23
김영주_(1955년),Mon,120,,류준열,46,,사물인터넷,60,,빅_데이터,57,,이승만,50,,조수진_(정치인),63,,미녀와_순정남,22,,용문중학교_(부산),23
다카,Fri,119,,전공의,46,,아일릿,60,,아일릿,57,,최경용,50,,다음,62,,,,,2024년_크로쿠스_시티홀_테러,22
정봉주,Thu,118,,한소희,46,,영등포구_갑,59,,사물인터넷,56,,필로티,50,,BLACKPINK,61,,,,,피라미드_게임_(드라마),22
조두순,Tue,118,,박은정_(검사),44,,로마_숫자,58,,손준호_(축구_선수),55,,젠슨_황,49,,신세계그룹,61,,,,,홍콩_국가보안법,22
Girlfriend_(에이브릴_라빈의_노래),Tue,114,,배타적_경제_수역,44,,윤진이,57,,프랜시스_스콧_키_브리지_(볼티모어),55,,국가별_국가_코드_목록,48,,카카오톡,60,,,,,,
춘분,Wed,113,,에펨코리아,44,,ASCII,56,,2026년_FIFA_월드컵_예선,53,,대한민국_제21대_국회의원_선거,48,,거울_신경_세포,59,,,,,,
2026년_FIFA_월드컵_아시아_지역_예선,Fri,112,,전국노래자랑,44,,조국혁신당,56,,카카오톡,53,,제곱미터,48,,용인시_정,57,,,,,,
강미정,Wed,112,,지구_온난화,44,,김영주_(1955년),54,,5·18_광주_민주화_운동,52,,최대식,48,,주진우,57,,,,,,
인공지능,Thu,109,,쿠팡,44,,2022년_동계_올림픽,53,,국가별_국가_코드_목록,52,,가설_연역_방법,47,,황상무,57,,,,,,
구글의_이스터_에그_목록,Tue,108,,구글,43,,다음,53,,미노이,51,,로마_숫자,47,,2024년_대한민국의_텔레비전_드라마_목록,55,,,,,,
주기율표,Wed,105,,최경용,42,,화성시_을,52,,윈도우_11의_새로운_기능,50,,구글,45,,보퍼트_풍력_계급,55,,,,,,
3·1절,Fri,105,,화성시_을,42,,2024년_대한민국의_텔레비전_드라마_목록,51,,이혜훈,49,,서일문화예술고등학교,45,,2016년_하계_올림픽_개막식,54,,,,,,
구글의_이스터_에그_목록,Wed,104,,안모토_등마,41,,강선영_(군인),51,,대한민국,48,,에펨코리아,45,,제곱미터,54,,,,,,
정봉주,Fri,104,,계양구_을,40,,대한민국_제21대_국회의원_선거,50,,대한민국의_중앙행정기관,48,,오재원,45,,국토지리정보원,53,,,,,,
국제_행복의_날,Wed,104,,그림판,40,,류준열,50,,로마_숫자,48,,원주율,45,,로드_하우스_(2024년_영화),53,,,,,,
조국혁신당,Mon,100,,눈물의_여왕,40,,국가별_국가_코드_목록,49,,정보사_언론_테러_사건,48,,쿠팡,45,,안규백,53,,,,,,
윈도우_10의_제거된_기능,Wed,98,,전현희,40,,버닝썬_게이트,49,,홍영표,48,,한동훈_(법조인),45,,2026년_FIFA_월드컵_아시아_지역_2차_예선,52,,,,,,
김부남_사건,Thu,98,,대한민국,39,,편상욱,49,,도태우,47,,5·18_광주_민주화_운동,44,,5·18_광주_민주화_운동,51,,,,,,
토론토,Fri,97,,대한민국_제21대_국회의원_선거,39,,ChatGPT,48,,윈도우_11의_제거된_기능_목록,47,,넷_아트,44,,국제_남성의_날,50,,,,,,
Dangerous_(마이클_잭슨의_음반),Tue,96,,대한민국의_행정_구역,39,,수성,48,,2024년_대한민국의_텔레비전_드라마_목록,46,,대한민국,44,,박은정_(검사),50,,,,,,
주기율표,Mon,94,,김승수_(배우),38,,박은정_(검사),47,,아이피큐,46,,상용_소프트웨어,44,,강북구_을,49,,,,,,
조국_(법학자),Tue,93,,삼체,38,,스마트_헬스케어,47,,제곱미터,46,,나폴레옹_3세,42,,소행성_궤도_변경_임무,49,,,,,,
1896년_하계_올림픽,Tue,92,,이우리,38,,영국,46,,2024년_미국_대통령_선거,44,,스프레드시트,42,,이종섭_(군인),49,,,,,,
구글의_이스터_에그_목록,Mon,91,,현종_(고려),38,,구글,45,,구글,44,,옌스_야코브_베르셀리우스,42,,새야_새야,48,,,,,,
김영옥_(배우),Thu,90,,문화대혁명,37,,대한민국_제22대_국회의원_선거,45,,대한민국_제22대_국회의원_선거,44,,제4차_산업혁명,42,,임태훈_(인권활동가),48,,,,,,
젠슨_황,Wed,90,,TCP/UDP의_포트_목록,36,,엔젤로보틱스,45,,지눌,44,,서윤아,41,,국가별_국가_코드_목록,47,,,,,,
지구,Wed,90,,노환규,36,,The_Game_(퀸의_음반),44,,강민영_(배우),43,,HMAC,40,,대한민국_제21대_국회의원_선거,47,,,,,,
공학,Thu,90,,미녀와_순정남,36,,김영옥_(배우),44,,다음,43,,대한민국의_국민연금,40,,대한민국의_대통령_목록,46,,,,,,
성금요일,Fri,90,,세종특별자치시_갑,36,,대한민국의_대통령_목록,44,,조국혁신당,43,,방정환,40,,신현영,46,,,,,,
정봉주,Tue,89,,한지민_(의사),36,,대한민국의_행정_구역,44,,쿠팡,43,,조국혁신당,40,,정재은_(기업인),46,,,,,,
인터_마이애미_CF,Fri,86,,부파불교,35,,지구,44,,넬슨_만델라,42,,새로운미래,39,,지구,46,,,,,,
태양,Fri,86,,인동고등학교,35,,청소년_올림픽,44,,용혜인,42,,피라미드_게임_(드라마),38,,박재홍_(아나운서),45,,,,,,
김영삼,Fri,85,,임종석,35,,파로,44,,정보과학,42,,구글_번역,37,,사물인터넷,45,,,,,,
주기율표,Tue,84,,귀주_대첩,34,,파이썬,44,,주앙_페드루_다_실바_페헤이라,42,,그림판,37,,캐나다,45,,,,,,
구글의_이스터_에그_목록,Thu,82,,아일릿,34,,국제_올림픽_위원회_총회,43,,치지직,42,,대한민국의_대통령_목록,37,,세월호_침몰_사고,44,,,,,,
강감찬,Mon,81,,5·18_광주_민주화_운동,33,,김주하_(배구_선수),43,,파이썬,42,,월드_와이드_웹,37,,안드레아_피를로,44,,,,,,
에바_가드너,Wed,80,,공자,33,,도태우,43,,임유진_(1981년),41,,이순신,37,,유관순,44,,,,,,
신동욱_(방송인),Tue,79,,국제전화_국가_번호,33,,6월_민주_항쟁,41,,4·19_혁명,40,,나눗셈_정리,36,,그림판,43,,,,,,
조지_숄티,Fri,79,,반증주의,33,,서울특별시의_행정_구역,41,,그림판,40,,오정해,36,,지층,43,,,,,,
데이비드_블랙웰,Fri,79,,빅_데이터,33,,제곱미터,41,,슬리버,39,,자바스크립트,36,,추상_미술,43,,,,,,
카카오톡,Mon,78,,영등포구_갑,33,,구글_번역,40,,오재원,39,,장샤오강,36,,카일리_제너,43,,,,,,
그레이스_호퍼,Fri,78,,이주빈,33,,비례대표제,40,,한동훈_(법조인),39,,증강_현실,36,,쿠팡,43,,,,,,
프랑스,Tue,77,,대한민국_제21대_국회의원_선거_더불어민주당_후보_목록,32,,그림판,39,,2026년_FIFA_월드컵,38,,한국교육방송공사,36,,한동훈_(법조인),43,,,,,,
마이애미_MLS_팀,Fri,77,,유병언,32,,동계_청소년_올림픽,39,,FIN_tbl,37,,ChatGPT,35,,6월_민주_항쟁,42,,,,,,
주기율표,Thu,76,,한국교육방송공사,32,,리아_(대한민국의_가수),39,,대한민국의_행정_구역,37,,HTTP_상태_코드,35,,대한민국_제22대_국회의원_선거,42,,,,,,
손명순,Fri,76,,김지원_(배우),31,,경칩,38,,이성만,35,,남진_(가수),35,,룰루레몬_애틀라티카,42,,,,,,
윤종용,Wed,76,,제3차_고려-거란_전쟁,31,,김보라_(배우),38,,탄소,35,,박광온,35,,묵자,42,,,,,,
대한민국_제21대_국회의원_선거,Wed,75,,춘분,31,,싱가포르,37,,가짜뉴스,34,,이바라키현,35,,빅_데이터,42,,,,,,
김영주_(1955년),Sat,75,,특례시_(대한민국),31,,윤동주,37,,성남시_분당구_갑,34,,세월호_침몰_사고,34,,샌디에고,42,,,,,,
조국혁신당,Fri,75,,파이썬,31,,한소희,37,,연쇄상구균,34,,2024년_대한민국의_텔레비전_드라마_목록,33,,장프랑수아_밀레,42,,,,,,
ASCII,Fri,75,,상태_기계_복제,30,,공학,36,,정준영,34,,노정현,33,,하남시의_국회의원,42,,,,,,
윤태영_(배우),Wed,74,,알리익스프레스,30,,착용_컴퓨터,36,,지구_온난화,34,,백두산,33,,한림연예예술고등학교,42,,,,,,
대한민국의_행정_구역,Thu,74,,오컬트,30,,쿠팡,36,,IEEE_754,33,,지구_온난화,33,,부활절,41,,,,,,
주기율표,Fri,74,,존_오브_인터레스트,30,,TCP/UDP의_포트_목록,35,,구글_번역,33,,개혁신당_(2024년),32,,한소희,41,,,,,,
권도형,Thu,73,,컴퓨터_그래픽스,30,,안중근,35,,구글_클래스룸,33,,도태우,32,,2026년_FIFA_월드컵_예선,40,,,,,,
권도형,Fri,73,,타지키스탄,30,,고양이,34,,볼티모어,33,,아두이노,32,,4·19_혁명,40,,,,,,
스웨덴,Sun,72,,피라미드_게임_(드라마),30,,방준오,33,,척준경,33,,오스트레일리아,32,,코크란_(단체),40,,,,,,
박성중,Tue,72,,미디어_아트,29,,소프트웨어,33,,최경용,33,,경찰_계급,31,,황운하,40,,,,,,
방송통신고등학교,Wed,72,,성남시_분당구_갑,29,,조두순_사건,33,,GPT_(언어_모델),32,,미녀와_순정남,31,,공유_경제,39,,,,,,
ChatGPT,Wed,71,,싱가포르,29,,지구_온난화,33,,대한민국_축구_국가대표팀,32,,부활절,31,,구글_번역,39,,,,,,
도태우,Fri,71,,C_(프로그래밍_언어),28,,남인순,32,,조수진_(정치인),32,,김태형_(정치인),30,,산업_혁명,39,,,,,,
카카오톡,Tue,70,,HTML,28,,런던_지하철_노선도,32,,플로피_디스크,32,,사기_(역사서),30,,정보과학,39,,,,,,
-,Sat,70,,김신영,28,,망치고등어,32,,KBO_리그,31,,상태_기계_복제,30,,한국교육방송공사,39,,,,,,
인공지능,Tue,69,,대한민국의_국민연금,28,,알리익스프레스,32,,상용_소프트웨어,31,,실리콘_밸리,30,,황보승희,39,,,,,,
저우샤오한,Wed,69,,독도,28,,한자,32,,상태_기계_복제,31,,정승제,30,,2023-24년_UEFA_유로파컨퍼런스리그,38,,,,,,
정봉주,Wed,69,,서울특별시,28,,가상_현실,31,,원소_목록,31,,미노이,29,,대한민국,38,,,,,,
이종섭_(군인),Thu,68,,소배압,28,,강선영,31,,윈도우_XP의_개발,31,,바로크_음악,29,,박정희,38,,,,,,
인공지능,Fri,68,,한서희,28,,나무위키,31,,증강_현실,31,,산업_혁명,29,,소화기_질환,38,,,,,,
양정아,Tue,67,,KS_X_1001의_특수_문자,27,,상태_기계_복제,31,,프리츠커상,31,,가운뎃점,28,,펠레,38,,,,,,
서초구_을,Tue,67,,가상_현실,27,,아이작_뉴턴,31,,개혁신당_(2024년),30,,강미정,28,,구글,37,,,,,,
황상무,Mon,67,,계산기,27,,용혜인,31,,독도,30,,국제전화_국가_번호,28,,로마_숫자,37,,,,,,
조국_(법학자),Thu,66,,고려_거란_전쟁_(드라마),27,,이승만,31,,안중근,30,,마라탕,28,,벚꽃,37,,,,,,
카카오톡,Thu,65,,기계_번역,27,,하버법,31,,양양군수,30,,박정희,28,,오타니_쇼헤이,37,,,,,,
오재원,Fri,65,,사물인터넷,27,,2026년_FIFA_월드컵_아시아_지역_2차_예선,30,,양정아,30,,삼성초등학교_(제주),28,,제4차_산업혁명,37,,,,,,
5·18_광주_민주화_운동,Tue,64,,산소,27,,2026년_FIFA_월드컵_아시아_지역_예선,30,,이아름_(1994년),30,,제2차_세계_대전,28,,지구_온난화,37,,,,,,
신윤주,Mon,64,,세월호_침몰_사고,27,,IOC_총회,30,,이철규_(1957년),30,,카페_왕조,28,,3·1_운동,35,,,,,,
윈도우_폰_7,Wed,64,,임효준,27,,강서구_을,30,,가상_현실,29,,KS_X_1001의_특수_문자,27,,미노이,35,,,,,,
박은정_(검사),Thu,64,,정보과학,27,,구글_클래스룸,30,,기계_번역,29,,구글_클래스룸,27,,세자가_사라졌다,35,,,,,,
조국혁신당,Sun,64,,4·19_혁명,26,,국제전화_국가_번호,30,,수성,29,,달리오디비,27,,이승만,35,,,,,,
조수진_(정치인),Fri,63,,6월_민주_항쟁,26,,권향엽,30,,6월_민주_항쟁,28,,성금요일,27,,하남시_(선거구),35,,,,,,
인공지능,Wed,63,,남자_400m_달리기_세계_기록_추이,26,,멕시코시티,30,,TCP/UDP의_포트_목록,28,,안귀령,27,,대한민국_제22대_국회의원_선거_여론_조사,34,,,,,,
2026년_FIFA_월드컵_아시아_지역_2차_예선,Wed,63,,디지털,26,,손준호_(축구_선수),30,,국제전화_국가_번호,28,,국제_여성의_날,26,,리아_(대한민국의_가수),34,,,,,,
화이트데이,Thu,63,,모아이,26,,대한민국의_국민연금,29,,김영주_(1955년),28,,도널드_커누스,26,,에펨코리아,34,,,,,,
소프트웨어,Fri,63,,비례대표제,26,,에펨코리아,29,,빈센트_반_고흐,28,,로봇공학,26,,원소_목록,34,,,,,,
카이랄성_(화학),Mon,62,,삼각법,26,,용감무쌍_용수정,29,,앤톤,28,,루이_9세,26,,종려주일,34,,,,,,
대한민국,Tue,62,,새로운미래,26,,인지적_왜곡,29,,에펨코리아,28,,비동의_간음죄,26,,태국_축구_국가대표팀,34,,,,,,
다음,Fri,62,,소프트웨어의_종류,26,,임성기,29,,유영하,28,,비비_(대한민국의_가수),26,,허목,34,,,,,,
빅_데이터,Tue,62,,정보화_사회,26,,전현희,29,,크라우드소싱,28,,사물인터넷,26,,대장암,33,,,,,,
신세계그룹,Fri,61,,프랑스,26,,최경용,29,,태국_축구_국가대표팀,28,,안중근,26,,대한민국의_행정_구역,33,,,,,,
제4차_산업혁명,Tue,61,,하이드_(드라마),26,,피라미드_게임_(드라마),29,,가족,27,,양정아,26,,도그맨_(2023년_영화),33,,,,,,
BLACKPINK,Fri,61,,한국어의_남북_간_차이,26,,계산기,28,,만화,27,,오타니_쇼헤이,26,,루이빌_시티_FC,33,,,,,,
서계_사건,Wed,61,,한동훈_(법조인),26,,대한민국_제21대_국회의원_선거_비례대표_배분_방법,28,,손석구,27,,윤석열,26,,매사추세츠주,33,,,,,,
안토니오_비발디,Thu,61,,공상정,25,,디자인,28,,용감무쌍_용수정,27,,정보과학,26,,아일릿,32,,,,,,
조국_(법학자),Wed,61,,그레타_리,25,,박목월,28,,정보화_사회,27,,지구,26,,윤석열,32,,,,,,
카카오톡,Fri,60,,넬슨_만델라,25,,소프트웨어의_종류,28,,제4차_산업혁명,27,,탄소,26,,착용_컴퓨터,32,,,,,,
사물인터넷,Tue,60,,바로크,25,,정보과학,28,,가운뎃점,26,,TCP/UDP의_포트_목록,25,,최경용,32,,,,,,
올리비아_로드리고,Wed,60,,업비트,25,,한국교육방송공사,28,,권도형,26,,XML,25,,ChatGPT,31,,,,,,
운영체제,Wed,60,,용인시_정,25,,한동훈_(법조인),28,,대한민국의_국민연금,26,,강병원,25,,상태_기계_복제,31,,,,,,
분열조직,Sun,60,,정보기술,25,,GPT_(언어_모델),27,,박진섭_(1995년),26,,대한민국_제21대_국회의원_선거_비례대표_배분_방법,25,,에어_나미비아,31,,,,,,
ASCII,Wed,60,,지방,25,,LK-99,27,,빅플래닛메이드엔터,26,,댓글부대_(영화),25,,원주율,31,,,,,,
HTML,Thu,60,,페르소나_(심리학),25,,가운뎃점,27,,앨릭_볼드윈,26,,알고리즘,25,,주기환,31,,,,,,
4·19_혁명,Tue,60,,효심이네_각자도생,25,,남희석,27,,에탄올,26,,임현식,25,,월드_와이드_웹,30,,,,,,
아일릿,Tue,60,,2026년_FIFA_월드컵_아시아_지역_예선,24,,성완종,27,,윤동주,26,,2010년,24,,피리딘,30,,,,,,
대한민국의_대통령_목록,Wed,59,,국제_기념일,24,,조규홍,27,,이순신,26,,대한민국의_정보_보안_사고_목록,24,,대한민국의_국민연금,29,,,,,,
배임죄,Wed,59,,권도형,24,,춘분,27,,다코타_존슨,25,,미국,24,,박준희_(가수),29,,,,,,
영등포구_갑,Tue,59,,드미트리_멘델레예프,24,,홍익표_(1967년),27,,레_미제라블,25,,박목월,24,,알리익스프레스,29,,,,,,
남희석,Mon,59,,베트남,24,,황상무,27,,리아_(대한민국의_가수),25,,연경당,24,,엔비디아,29,,,,,,
거울_신경_세포,Fri,59,,비트_(단위),24,,2016년_하계_올림픽,26,,수학_기호,25,,영등포구_갑,24,,키루스_원통,29,,,,,,
아일릿,Thu,59,,윤성빈,24,,기계_번역,26,,이채익,25,,윤동주,24,,5·16_군사정변,28,,,,,,
윌리엄_볼드윈,Wed,59,,정보통신기술,24,,눈물의_여왕,26,,재료역학,25,,임태훈_(인권활동가),24,,달리오디비,28,,,,,,
종려주일,Sun,59,,프로그래밍_언어의_역사,24,,보퍼트_풍력_계급,26,,제윤경,25,,조수진_(정치인),24,,도네츠크,28,,,,,,
대한민국_제22대_국회의원_선거,Mon,58,,강지영_(아나운서),23,,수학_기호,26,,한국교육방송공사,25,,지상작전사령부,24,,미스트롯_3,28,,,,,,
2026년_FIFA_월드컵_아시아_지역_예선,Thu,58,,개혁신당_(2024년),23,,화성,26,,박덕흠,24,,착용_컴퓨터,24,,상나라,28,,,,,,
로마_숫자,Tue,58,,고대_이집트_왕조_목록,23,,강감찬,25,,산소,24,,파이썬,24,,업비트,28,,,,,,
2015년,Wed,57,,리눅스_배포판,23,,디트로이트,25,,오타니_쇼헤이,24,,헬스,24,,정은채,28,,,,,,
황상무,Fri,57,,마틴_루터_킹_주니어,23,,불확정성_원리,25,,웅도_(서산시),24,,2026년_FIFA_월드컵,23,,조두순,28,,,,,,
국가별_국가_코드_목록,Mon,57,,부동소수점,23,,수사반장_1958,25,,원주율,24,,2026년_FIFA_월드컵_아시아_지역_2차_예선,23,,주민규,28,,,,,,
한자,Thu,57,,비트토렌트,23,,심진보,25,,인터럽트,24,,7인의_부활,23,,화성,28,,,,,,
윤진이,Tue,57,,빈센트_반_고흐,23,,오퍼튜니티_(탐사차),25,,키루스_원통,24,,대한간호조무사협회,23,,독도,27,,,,,,
아일릿,Wed,57,,수지맞은_우리,23,,이순신,25,,핀터레스트,24,,삼체,23,,리오_라이언,27,,,,,,
빅_데이터,Wed,57,,원더풀_월드,23,,1940년_하계_올림픽,24,,한주리,24,,세종,23,,세계_인권_선언,27,,,,,,
용인시_정,Fri,57,,이순신,23,,2024년_대한민국_의료대란,24,,박용진_(정치인),23,,셀린_송,23,,정동원,27,,,,,,
주진우,Fri,57,,제4차_산업혁명,23,,김부겸,24,,부동소수점,23,,알리익스프레스,23,,컴퓨터_하드웨어,27,,,,,,
빅_데이터,Thu,56,,중앙응급의료센터,23,,멱살_한번_잡힙시다,24,,비트_(단위),23,,엔비디아,23,,가운뎃점,26,,,,,,
사물인터넷,Wed,56,,착용_컴퓨터,23,,변주곡,24,,사원수,23,,오픈_소스_소프트웨어,23,,계양구_을,26,,,,,,
전종서,Mon,56,,클리프_존스,23,,서초구_갑,24,,삼체,23,,용인시_갑,23,,신시내티,26,,,,,,
ASCII,Tue,56,,티모시_샬라메,23,,성남시_분당구_갑,24,,수산화_리튬,23,,윤종용,23,,양지초등학교_(경기),26,,,,,,
조국혁신당,Tue,56,,핀터레스트,23,,송창식_(야구인),24,,연경당,23,,2024년_미국_대통령_선거,22,,엘비스_프레슬리,26,,,,,,
다음,Mon,56,,가운뎃점,22,,슈퍼_화요일,24,,윈도우_8의_새로운_기능,23,,GPT_(언어_모델),22,,영국,26,,,,,,
ASCII,Mon,55,,대한민국_축구_국가대표팀,22,,아이폰,24,,이승만,23,,갈릴레오_갈릴레이,22,,정용진,26,,,,,,
보퍼트_풍력_계급,Fri,55,,셀린_송,22,,올림픽_개회_선언자_목록,24,,이종섭_(군인),23,,대한민국_제21대_국회의원_선거_부산광역시,22,,페리클레스,26,,,,,,
2024년_대한민국의_텔레비전_드라마_목록,Fri,55,,신한은행,22,,윤석열,24,,카드_번호의_구성,23,,베트남,22,,3·1독립선언서,25,,,,,,
손준호_(축구_선수),Wed,55,,원소_목록,22,,천연두,24,,파묘,23,,사마천,22,,공자,25,,,,,,
다음,Thu,55,,은허,22,,구글_드라이브,23,,한국보건복지인재원,23,,산소,22,,대한민국_제21대_국회의원_선거_더불어민주당_후보_목록,25,,,,,,
조배숙,Thu,55,,전민기,22,,기체_상수,23,,헬스,23,,수권,22,,덴버,25,,,,,,
프랜시스_스콧_키_브리지_(볼티모어),Wed,55,,제시_린가드,22,,나라장터,23,,2022년_FIFA_월드컵_아시아_지역_예선,22,,용혜인,22,,배아현,25,,,,,,
김영주_(1955년),Tue,54,,조수진_(정치인),22,,도봉구_갑,23,,DNA,22,,종려주일,22,,성남시_분당구_갑,25,,,,,,
2016년_하계_올림픽_개막식,Fri,54,,,,,레우크트라_전투,23,,달서구_갑,22,,폴_포트,22,,세계_물의_날,25,,,,,,
제곱미터,Mon,54,,,,,오타니_쇼헤이,23,,대한민국의_아카데미_국제영화상_출품작,22,,플러스마이너스,22,,양자_컴퓨터,25,,,,,,
제곱미터,Fri,54,,,,,요한_볼프강_되베라이너,23,,엔비디아,22,,,,,존_돌턴,25,,,,,,
대한민국_제22대_국회의원_선거,Thu,54,,,,,운영체제,23,,윤상,22,,,,,파이썬,25,,,,,,
김영주,Mon,54,,,,,전_(성씨),23,,이범수,22,,,,,KS_X_1001의_특수_문자,24,,,,,,
2022년_동계_올림픽,Tue,53,,,,,최소제곱법,23,,전공의,22,,,,,Null,24,,,,,,
파묘,Mon,53,,,,,강남구_병,22,,현악_사중주,22,,,,,국제전화_국가_번호,24,,,,,,
