,,,,,Mon,,,Tue,,,Wed,,,Thu,,,Fri,,,Sat,,,Sun
title,day,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views,,title,max_views
화성시_을,Sat,743,,총합계,8433,,총합계,9077,,총합계,8250,,총합계,5754,,총합계,7948,,총합계,2881,,총합계,1861
Single_Ladies_(Put_a_Ring_on_It),Tue,563,,양정아,378,,Single_Ladies_(Put_a_Ring_on_It),563,,방탄소년단,538,,2022년_FIFA_월드컵,180,,뉴욕의_마천루_목록,415,,화성시_을,743,,김영주_(1955년),83
방탄소년단,Wed,538,,리아_(대한민국의_가수),265,,강미정,507,,물질대사,275,,내곡중학교,145,,토리야마_아키라,411,,이원욱,117,,조국신당,68
강미정,Tue,507,,김주하_(배구_선수),190,,저우샤오한,243,,조두순,206,,정봉주,134,,국제_여성의_날,330,,기아_(기업),67,,Blackbird_(비틀즈의_노래),67
뉴욕의_마천루_목록,Fri,415,,구글의_이스터_에그_목록,130,,엘비스_프레슬리,184,,빌보드_소셜_50_1위_아티스트_목록,171,,김영옥_(배우),105,,미디어_리터러시,189,,화성시_갑,66,,조국_(법학자),62
토리야마_아키라,Fri,411,,화성시_을,128,,정준영,138,,미노이,168,,정은채,99,,이탈리아,175,,조국_(법학자),64,,서유리,55
양정아,Mon,378,,ASCII,125,,빅플래닛메이드엔터,137,,테일러_스위프트,157,,프랑스_축구_국가대표팀,96,,외계_행성_주인별,152,,화성시_병,62,,조국혁신당,52
국제_여성의_날,Fri,330,,주기율표,125,,주기율표,137,,김영옥_(배우),113,,조국_(법학자),93,,미국_해군,151,,종려주일,61,,에펨코리아,51
물질대사,Wed,275,,강선영_(군인),115,,강유정_(평론가),120,,개신교,108,,구글의_이스터_에그_목록,88,,조국_(법학자),142,,에펨코리아,58,,지구_온난화,51
리아_(대한민국의_가수),Mon,265,,김영주_(1955년),98,,기생수,119,,윌리엄_볼드윈,104,,화이트데이,84,,전쟁범죄,106,,이우리,54,,TVING,48
저우샤오한,Tue,243,,전혜숙,94,,인공지능,119,,에펨코리아,101,,주기율표,82,,HTML,100,,화성시의_국회의원,51,,남일우,48
조두순,Wed,206,,정봉주,94,,콜드플레이,117,,스쿠터_브라운,100,,조두순,78,,조국혁신당,98,,한국교육방송공사,48,,대한민국의_주소,46
김주하_(배구_선수),Mon,190,,다니엘_튜더,88,,구글의_이스터_에그_목록,115,,에바_가드너,95,,컴퓨터,74,,정서주,90,,아일릿,47,,부활절,44
미디어_리터러시,Fri,189,,환생경제,77,,조두순,97,,홍영표,93,,박은정_(검사),71,,3·1절,88,,TVING,45,,한국교육방송공사,44
엘비스_프레슬리,Tue,184,,전공의,72,,대한민국_제21대_국회의원_선거,96,,2026년_FIFA_월드컵_아시아_지역_예선,90,,ASCII,61,,북키프로스,87,,루카스_파케타,45,,같이_살래요,40
2022년_FIFA_월드컵,Thu,180,,인공지능,71,,아일릿,94,,최성은,90,,인공지능,60,,권도형,85,,조국혁신당,45,,원더풀_월드,37
이탈리아,Fri,175,,카카오톡,71,,조국_(법학자),87,,ASCII,88,,정보화_사회,60,,구글의_이스터_에그_목록,84,,동형암호,43,,김보협,36
빌보드_소셜_50_1위_아티스트_목록,Wed,171,,5·18_광주_민주화_운동,70,,박덕흠,76,,윤종용,86,,조국혁신당,58,,오푸스_데이,83,,원더풀_월드,41,,주기율표,36
미노이,Wed,168,,조국_(법학자),69,,조선민주주의인민공화국의_인구,76,,춘분,83,,대한민국_제21대_국회의원_선거,57,,박은정_(검사),78,,파묘,39,,로마_숫자,35
테일러_스위프트,Wed,157,,조국혁신당,69,,대한간호조무사협회,74,,조국혁신당,81,,대한민국_제22대_국회의원_선거,57,,주기율표,78,,신칸센_E2계_전동차,38,,쿠팡,35
외계_행성_주인별,Fri,152,,황대헌,66,,말레이시아,74,,그랑드자트섬의_일요일_오후,80,,카카오톡,55,,카카오톡,76,,대한민국의_교통표지,36,,치지직,34
미국_해군,Fri,151,,ChatGPT,64,,지구_온난화,71,,주기율표,77,,정우택_(1953년),54,,김보협,75,,도태우,35,,한소희,34
내곡중학교,Thu,145,,오지영_(배구_선수),64,,김형연,69,,카카오톡,72,,권순일_(법조인),52,,정봉주,69,,주기율표,34,,파묘,32
조국_(법학자),Fri,142,,강선영,62,,김동훈_(배우),68,,강감찬,71,,양정아,50,,드래곤볼,68,,윤덕영,33,,아프리카TV,31
정준영,Tue,138,,조두순,61,,윤진이,67,,구글의_이스터_에그_목록,69,,대한민국,49,,ASCII,64,,대한민국_제22대_국회의원_선거,32,,강미정,30
빅플래닛메이드엔터,Tue,137,,국가별_국가_코드_목록,59,,양정아,66,,AOMG,67,,한국교육방송공사,49,,ChatGPT,64,,일베저장소,32,,스테아르산,30
주기율표,Tue,137,,황상무,59,,UEFA_유로_2008_결선_토너먼트,65,,인공지능,67,,2026년_FIFA_월드컵_아시아_지역_예선,48,,국제_남성의_날,61,,쿠팡,32,,구글,29
정봉주,Thu,134,,KBS원주방송국,58,,대한민국_제22대_국회의원_선거,65,,광케이블,65,,제곱미터,48,,성금요일,59,,화성시_정,32,,김새론,28
구글의_이스터_에그_목록,Mon,130,,김주하,58,,조국혁신당,63,,정준영,63,,조배숙,48,,5·18_광주_민주화_운동,58,,황상무,31,,성_파트리치오_축일,28
화성시_을,Mon,128,,로마_숫자,57,,국가별_국가_코드_목록,59,,젠슨_황,63,,대한민국의_국민연금,47,,다음,58,,LG_G_시리즈,30,,스즈키_아유미,28
주기율표,Mon,125,,단군,54,,오현경_(1936년),59,,낙태,61,,아일릿,46,,국가별_국가_코드_목록,56,,개혁신당_(2024년),30,,전종서,28
ASCII,Mon,125,,정보화_시대,54,,에펨코리아,58,,정봉주,60,,박정희,45,,류준열,55,,LG_G6_ThinQ,29,,정원철_(음악가),28
강유정_(평론가),Tue,120,,착용_컴퓨터,54,,로마_숫자,57,,아일릿,57,,빅_데이터,44,,에펨코리아,53,,부활절,29,,하이드_(드라마),28
기생수,Tue,119,,CSS,53,,ASCII,56,,윤태영_(배우),57,,로마_숫자,43,,정보화_사회,52,,로마_숫자,28,,51구역,27
인공지능,Tue,119,,대한민국_제21대_국회의원_선거,53,,카카오톡,56,,한동훈_(법조인),56,,국가별_국가_코드_목록,42,,강북구_을,51,,비트토렌트,28,,ChatGPT,27
이원욱,Sat,117,,남희석,52,,머라이어_캐리,55,,ChatGPT,55,,구글,41,,모리_히카리,51,,호산나,28,,대한민국_제21대_국회의원_선거,27
콜드플레이,Tue,117,,다음,52,,제곱미터,55,,정보화_사회,54,,사물인터넷,41,,인공지능,50,,계양구_을,27,,대한민국의_국민연금,27
구글의_이스터_에그_목록,Tue,115,,대한민국_제22대_국회의원_선거,51,,그림판,54,,조국_(법학자),53,,쿠팡,41,,홍록기,50,,구글,27,,아프리카,26
강선영_(군인),Mon,115,,안양시_동안구의_국회의원,50,,오지혜,54,,김준형_(교수),52,,핀터레스트,41,,구글,49,,로드_하우스_(2024년_영화),27,,알폰소_2세_(나폴리),26
김영옥_(배우),Wed,113,,제곱미터,50,,정보화_사회,52,,국가별_국가_코드_목록,51,,뉴욕,40,,대한민국_제22대_국회의원_선거,49,,유경준,27,,밀도,25
개신교,Wed,108,,한국교육방송공사,48,,대한민국,51,,대한민국,50,,오재원,40,,로마_숫자,49,,토리야마_아키라,27,,손흥민,25
전쟁범죄,Fri,106,,C_(프로그래밍_언어),47,,김영주_(1955년),50,,2026년_FIFA_월드컵_예선,49,,원주율,40,,3·1_운동,48,,5·18_광주_민주화_운동,26,,효심이네_각자도생,25
김영옥_(배우),Thu,105,,단오_(한국),46,,편상욱,50,,미분법,49,,ChatGPT,39,,로드_하우스_(2024년_영화),46,,강미나,26,,2015년_바가_학살,24
윌리엄_볼드윈,Wed,104,,탁구,46,,오스트레일리아의_국기,49,,5·18_광주_민주화_운동,48,,다음,39,,인도유럽어족,46,,다음,26,,센코컵_월드바둑여류최강전,24
에펨코리아,Wed,101,,구글,45,,이낙훈,49,,강미정,48,,대한민국의_행정_구역,39,,정동원,46,,아프리카TV,26,,수원_삼성_블루윙즈,24
스쿠터_브라운,Wed,100,,그림판,45,,정봉주,49,,구글_번역,48,,에펨코리아,39,,주진우,45,,요바이,26,,정승제,24
HTML,Fri,100,,타지키스탄,45,,한국교육방송공사,49,,대한민국의_국민연금,48,,정보과학,39,,공자,44,,ChatGPT,25,,현미경,24
정은채,Thu,99,,대한민국의_행정_구역,44,,김순철_(배우),48,,쿠팡,48,,허은아,39,,대한민국,44,,LG전자,25,,김지영_(1974년),23
김영주_(1955년),Mon,98,,지구_온난화,44,,강선영_(군인),47,,황상무,48,,구글_번역,38,,대한민국의_국민연금,44,,대니_구,25,,대한민국,23
조국혁신당,Fri,98,,류준열,43,,구글,47,,도태우,47,,윤봉길의사기념관,38,,제곱미터,44,,재벌X형사,25,,미녀와_순정남,23
조두순,Tue,97,,원소_목록,43,,대한민국의_국민연금,47,,2026년_FIFA_월드컵_아시아_지역_2차_예선,46,,젠슨_황,38,,인,43,,치지직,25,,카카오톡,23
대한민국_제21대_국회의원_선거,Tue,96,,전국노래자랑,43,,다음,46,,구글,46,,이육사,37,,2026년_FIFA_월드컵_아시아_지역_예선,43,,대한민국_제21대_국회의원_선거,24,,강감찬,22
프랑스_축구_국가대표팀,Thu,96,,구글_번역,42,,도태우,46,,로마_숫자,46,,장재현,37,,로스트_인_베이징,43,,대한민국의_국민연금,24,,고려_거란_전쟁_(드라마),22
에바_가드너,Wed,95,,김영주,42,,유명한_웹사이트에_사용되는_프로그래밍_언어들,46,,제곱미터,45,,피라미드_게임_(드라마),37,,임태훈_(인권활동가),43,,방송,24,,러브홀릭스,22
전혜숙,Mon,94,,한소희,42,,쿠팡,46,,다음,44,,한동훈_(법조인),37,,지구_온난화,43,,앤서니_조슈아,24,,피펫,22
아일릿,Tue,94,,귀주_대첩,41,,김보라_(배우),45,,대한민국_제21대_국회의원_선거,44,,그림판,36,,독도,42,,카카오톡,24,,,
정봉주,Mon,94,,쿠팡,41,,구글_번역,43,,지구_온난화,43,,월드_와이드_웹,36,,한국교육방송공사,42,,트위치,24,,,
조국_(법학자),Thu,93,,미녀와_순정남,40,,용혜인,43,,홍성택,43,,최성은,36,,빅_데이터,41,,3·1_운동,23,,,
홍영표,Wed,93,,셀린_송,40,,정운천,43,,소프트웨어,42,,달리오디비,35,,손명순,41,,구글_번역,23,,,
정서주,Fri,90,,소프트웨어의_종류,40,,ChatGPT,42,,이방실,42,,도널드_커누스,35,,쿠팡,41,,김영주_(1955년),23,,,
최성은,Wed,90,,스뫼르고스보르드,40,,소프트웨어,41,,이혜훈,42,,앤_하이드,35,,대한민국_제21대_국회의원_선거,40,,슈퍼맨이_돌아왔다,23,,,
2026년_FIFA_월드컵_아시아_지역_예선,Wed,90,,정보통신기술,40,,TCP/UDP의_포트_목록,40,,개혁신당_(2024년),41,,오타니_쇼헤이,35,,미노이,40,,대한민국,22,,,
3·1절,Fri,88,,진달래,40,,대한민국의_행정_구역,40,,박목월,40,,자바스크립트,35,,우랄알타이어족,40,,,,,,
ASCII,Wed,88,,대한민국,39,,안귀령,40,,슬리버,40,,지구_온난화,35,,김영삼,39,,,,,,
구글의_이스터_에그_목록,Thu,88,,에펨코리아,38,,제4차_산업혁명,40,,한국교육방송공사,40,,공학,34,,이순신,38,,,,,,
다니엘_튜더,Mon,88,,피라미드_게임_(드라마),38,,5·18_광주_민주화_운동,39,,그림판,39,,내곡도서관,34,,황상무,38,,,,,,
북키프로스,Fri,87,,김승수_(배우),37,,I_Kissed_a_Girl,39,,대한민국_제22대_국회의원_선거,39,,메타버스,34,,피라미드_게임_(드라마),37,,,,,,
조국_(법학자),Tue,87,,성기학,37,,대한민국의_대통령_목록,39,,앤톤,39,,최대식,34,,그림판,36,,,,,,
윤종용,Wed,86,,엠마_스톤,37,,2026년_FIFA_월드컵_아시아_지역_예선,38,,용매,39,,HTML,33,,아일릿,36,,,,,,
권도형,Fri,85,,전현희,37,,엔젤로보틱스,38,,원주율,39,,고양이,33,,오타니_쇼헤이,36,,,,,,
화이트데이,Thu,84,,케이트,37,,장민기,38,,헨리_모즐리_(물리학자),39,,김채원_(1997년),33,,전쟁,36,,,,,,
구글의_이스터_에그_목록,Fri,84,,강감찬,36,,파로,38,,안병용,38,,부동소수점,33,,도태우,35,,,,,,
춘분,Wed,83,,김부겸,36,,한동훈_(법조인),38,,제4차_산업혁명,38,,옌스_야코브_베르셀리우스,33,,루마니아어,35,,,,,,
오푸스_데이,Fri,83,,삼체,36,,오스트레일리아,37,,조두순_사건,37,,백두산,32,,세월호_침몰_사고,35,,,,,,
김영주_(1955년),Sun,83,,세종특별자치시_갑,36,,홍영표,37,,국제_행복의_날,36,,석영,32,,KS_X_1001의_특수_문자,34,,,,,,
주기율표,Thu,82,,유효숫자,36,,김영옥_(배우),36,,스티비_원더,36,,권도형,31,,박재홍_(아나운서),34,,,,,,
조국혁신당,Wed,81,,제4차_산업혁명,36,,류준열,36,,인구순_나라_목록,36,,리영직,31,,청양군수,34,,,,,,
그랑드자트섬의_일요일_오후,Wed,80,,빅_데이터,35,,빅_데이터,36,,컴퓨터_하드웨어,36,,상대_원자_질량,31,,한동훈_(법조인),34,,,,,,
박은정_(검사),Fri,78,,앨런_튜링,35,,앙코르_와트,36,,피라미드_게임_(드라마),36,,염소_(원소),31,,대한민국_제21대_국회의원_선거_더불어민주당_후보_목록,33,,,,,,
주기율표,Fri,78,,4·19_혁명,34,,대한민국의_아이돌_그룹_목록,35,,2024년_미국_대통령_선거,35,,개혁신당_(2024년),30,,세계_물의_날,33,,,,,,
조두순,Thu,78,,광개토대왕,34,,정보과학,35,,난징_대학살,35,,나무위키,30,,용인시_정,33,,,,,,
주기율표,Wed,77,,김광규_(시인),34,,정원철_(음악가),35,,엔비디아,35,,대한민국의_대통령_목록,30,,구글_번역,32,,,,,,
환생경제,Mon,77,,대한민국의_대통령_목록,34,,황상무,35,,유경준,35,,도태우,30,,앙투안_라부아지에,32,,,,,,
박덕흠,Tue,76,,정보과학,34,,MAC_주소,34,,윤흥길,35,,박준희_(가수),30,,정원철_(음악가),32,,,,,,
카카오톡,Fri,76,,정원철_(음악가),34,,다트머스_회의,34,,Aespa,34,,윤동주,30,,제4차_산업혁명,32,,,,,,
조선민주주의인민공화국의_인구,Tue,76,,화성,34,,리아_(대한민국의_가수),34,,드레이크_(가수),34,,태국_축구_국가대표팀,30,,주기환,32,,,,,,
