,,,,,Mon,,,Tue,,,Wed,,,Thu,,,Fri,,,Sat,,,Sun
김보협,Fri,75,,정보화_사회,33,,민동기,34,,이선균,34,,5·18_광주_민주화_운동,29,,국제전화_국가_번호,31,,,,,,
컴퓨터,Thu,74,,화성시_갑,33,,박성중,34,,카니예_웨스트,34,,가운뎃점,29,,조수진_(정치인),31,,,,,,
대한간호조무사협회,Tue,74,,HTTP_상태_코드,32,,안유화,34,,국제전화_국가_번호,33,,엔비디아,29,,김영주_(1955년),30,,,,,,
말레이시아,Tue,74,,KS_X_1001의_특수_문자,32,,요한_볼프강_되베라이너,34,,유럽,33,,튀르키예,29,,박은정,30,,,,,,
전공의,Mon,72,,공자,32,,위성락,34,,유영하,32,,사이버_폭력,28,,사물인터넷,30,,,,,,
카카오톡,Wed,72,,대한민국의_국민연금,32,,이순재,34,,달리오디비,31,,영국,28,,상용_소프트웨어,30,,,,,,
강감찬,Wed,71,,도태우,32,,홍종학,34,,런던_(온타리오주),31,,2026년_FIFA_월드컵_아시아_지역_2차_예선,27,,양문석,30,,,,,,
박은정_(검사),Thu,71,,수학_기호,32,,애플,33,,앨릭_볼드윈,31,,TCP/UDP의_포트_목록,27,,양자_컴퓨터,30,,,,,,
카카오톡,Mon,71,,싱가포르,32,,양산시장,33,,6.25_전쟁,30,,국제전화_국가_번호,27,,에탄올,30,,,,,,
인공지능,Mon,71,,파묘,32,,영등포구_갑,33,,박은정_(검사),30,,레_미제라블,27,,오다_에이치로,30,,,,,,
지구_온난화,Tue,71,,헨리_모즐리_(물리학자),32,,인동고등학교,33,,사물인터넷,30,,세월호_침몰_사고,27,,오재원,30,,,,,,
5·18_광주_민주화_운동,Mon,70,,화성시_병,32,,파이썬,33,,상용_소프트웨어,30,,이순신,27,,전공의,30,,,,,,
구글의_이스터_에그_목록,Wed,69,,가상_현실,31,,도널드_커누스,32,,송길영,30,,중세,27,,템플릿,30,,,,,,
정봉주,Fri,69,,대한민국의_영화_흥행_기록,31,,세월호_침몰_사고,32,,안중근,30,,KS_X_1001의_특수_문자,26,,대한민국의_대통령_목록,29,,,,,,
김형연,Tue,69,,사물인터넷,31,,손준호_(축구_선수),32,,홍석준_(1966년),30,,마천루,26,,부활절,29,,,,,,
조국혁신당,Mon,69,,영등포구_갑,31,,엔비디아,32,,2026년_FIFA_월드컵,29,,비례대표제,26,,자연법,29,,,,,,
조국_(법학자),Mon,69,,오컬트,31,,유한대학교,32,,Sorry_(저스틴_비버의_노래),29,,소프트웨어,26,,카일리_제너,29,,,,,,
조국신당,Sun,68,,이해민,31,,윤소정_(배우),32,,기계_번역,29,,아프리카TV,26,,나무위키,28,,,,,,
김동훈_(배우),Tue,68,,계양구_을,30,,4·19_혁명,31,,대한민국의_행정_구역,29,,유진_구스트만,26,,달리오디비,28,,,,,,
드래곤볼,Fri,68,,눈물의_여왕,30,,분화구의_두_사람,31,,빅_데이터,29,,윤석열,26,,윤동주,28,,,,,,
AOMG,Wed,67,,도원교통_(경기),30,,수학_기호,31,,아두이노,29,,파이썬,26,,한소희,28,,,,,,
윤진이,Tue,67,,영원무역,30,,에탄올,31,,윤석열,29,,GPT_(언어_모델),25,,미국,27,,,,,,
인공지능,Wed,67,,핀터레스트,30,,오현경_(1970년),31,,이아름_(1994년),29,,대구광역시,25,,삼체,27,,,,,,
Blackbird_(비틀즈의_노래),Sun,67,,대한민국_제22대_국회의원_선거_여론_조사,29,,윤석열,31,,Justin_Bieber,28,,대한의사협회,25,,주민규,27,,,,,,
기아_(기업),Sat,67,,서제이,29,,전공의,31,,김선민,28,,동글,25,,기계_번역,26,,,,,,
양정아,Tue,66,,오스트레일리아,29,,전두환,31,,김선민_(건강보험심사평가원장),28,,배현진,25,,대공황,26,,,,,,
화성시_갑,Sat,66,,원더풀_월드,29,,피라미드_게임_(드라마),31,,대한민국의_대통령_목록,28,,빈센트_반_고흐,25,,대한민국의_행정_구역,26,,,,,,
황대헌,Mon,66,,윤석열,29,,공학,30,,류준열,28,,손흥민,25,,문용식,26,,,,,,
대한민국_제22대_국회의원_선거,Tue,65,,존_돌턴,29,,정보기술,30,,말레이시아,28,,싱가포르,25,,연합뉴스,26,,,,,,
광케이블,Wed,65,,페르소나_(심리학),29,,콜로세움,30,,밀도,28,,웹,25,,이종섭_(군인),26,,,,,,
UEFA_유로_2008_결선_토너먼트,Tue,65,,한동훈_(법조인),29,,Midjourney,29,,방송통신고등학교,28,,이종섭_(군인),25,,2026년_FIFA_월드컵_아시아_지역_2차_예선,25,,,,,,
ASCII,Fri,64,,2026년_FIFA_월드컵_아시아_지역_예선,28,,아르키메데스,29,,배임죄,28,,전자의무기록,25,,BTB_용액,25,,,,,,
ChatGPT,Fri,64,,TCP/UDP의_포트_목록,28,,채현일,29,,비비_(대한민국의_가수),28,,다이아_(음악_그룹),24,,TANGO_NOIR,25,,,,,,
조국_(법학자),Sat,64,,김지원_(배우),28,,최성은,29,,세월호_침몰_사고,28,,미노이,24,,빈센트_반_고흐,25,,,,,,
오지영_(배구_선수),Mon,64,,박찬홍,28,,기계_번역,28,,양정아,28,,백금,24,,수학_기호,25,,,,,,
ChatGPT,Mon,64,,은허,28,,김규리_(1979년_8월),28,,자격루,28,,수학자,24,,윤석열,25,,,,,,
정준영,Wed,63,,이순신,28,,비비_(대한민국의_가수),28,,정원철_(음악가),28,,안중근,24,,이육사,25,,,,,,
젠슨_황,Wed,63,,장샤오강,28,,이순신,28,,파이썬,28,,앙투안_라부아지에,24,,타지마할,25,,,,,,
조국혁신당,Tue,63,,조두순_사건,28,,하버법,28,,90377_세드나,27,,유로,24,,표준_편차,25,,,,,,
화성시_병,Sat,62,,GPT_(언어_모델),27,,2026년_FIFA_월드컵_아시아_지역_2차_예선,27,,가운뎃점,27,,초현실주의,24,,GPT_(언어_모델),24,,,,,,
강선영,Mon,62,,대한민국_제21대_국회의원_선거_더불어민주당_후보_목록,27,,게티즈버그_연설,27,,비례대표제,27,,기계_번역,23,,닥터_슬럼프,24,,,,,,
조국_(법학자),Sun,62,,대한민국_제21대_국회의원_선거_비례대표_배분_방법,27,,구글_클래스룸,27,,삼체,27,,김민아_(방송인),23,,대한민국_중앙선거관리위원회,24,,,,,,
종려주일,Sat,61,,서울특별시,27,,김주하_(배구_선수),27,,수학_기호,27,,김민전,23,,배아현,24,,,,,,
조두순,Mon,61,,수소,27,,박은정_(검사),27,,조배숙,27,,댓글부대_(영화),23,,부동소수점,24,,,,,,
낙태,Wed,61,,유니코드,27,,원소_목록,27,,표준정규분포표,27,,더스틴_페드로이아,23,,아우구스투스,24,,,,,,
국제_남성의_날,Fri,61,,전자기_유도,27,,황사,27,,KS_X_1001의_특수_문자,26,,드래곤볼,23,,용인시_을,24,,,,,,
ASCII,Thu,61,,지구,27,,2026년_FIFA_월드컵_예선,26,,공자,26,,부활절,23,,이이경,24,,,,,,
정보화_사회,Thu,60,,코드_페이지_949,27,,6월_민주_항쟁,26,,말라위,26,,산소,23,,임혁백,24,,,,,,
정봉주,Wed,60,,특례시_(대한민국),27,,KS_X_1001의_특수_문자,26,,세계_연극의_날,26,,삼체,23,,정재은_(기업인),24,,,,,,
인공지능,Thu,60,,한식_(절기),27,,Libvirt,26,,엘비스_프레슬리,26,,세계_인권_선언,23,,제럴드군,24,,,,,,
국가별_국가_코드_목록,Mon,59,,현미경,27,,MZ세대,26,,오재원,26,,유니코드_0000~0FFF,23,,태국_축구_국가대표팀,24,,,,,,
황상무,Mon,59,,가운뎃점,26,,강감찬,26,,저스틴_팀버레이크,26,,지능형_에이전트,23,,하나회,24,,,,,,
성금요일,Fri,59,,개혁신당_(2024년),26,,눈물의_여왕,26,,티아라_(음악_그룹),26,,하이퍼넷,23,,가운뎃점,23,,,,,,
오현경_(1936년),Tue,59,,대한민국_축구_국가대표팀,26,,서초구_을,26,,2018년_FIFA_월드컵_선수_명단,25,,HTML5,22,,드래곤볼_슈퍼,23,,,,,,
국가별_국가_코드_목록,Tue,59,,미국,26,,성일종,26,,경찰_계급,25,,국제단위계,22,,박지환,23,,,,,,
다음,Fri,58,,소배압,26,,수소,26,,김구,25,,김부남_사건,22,,백두산,23,,,,,,
조국혁신당,Thu,58,,엘리자베스_헐리,26,,스테아르산,26,,대한민국의_인구,25,,동예,22,,세컨드_러브,23,,,,,,
에펨코리아,Tue,58,,전지예,26,,안중근,26,,모아이,25,,수학_기호,22,,신세계그룹,23,,,,,,
5·18_광주_민주화_운동,Fri,58,,파이썬,26,,이승만,26,,성남시_분당구_갑,25,,어린_왕자,22,,원소_목록,23,,,,,,
KBS원주방송국,Mon,58,,2024년_대한민국_의료대란,25,,인식론,26,,원소_목록,25,,에탄올,22,,원숭이손_(소설),23,,,,,,
에펨코리아,Sat,58,,MZ세대,25,,입력_장치,26,,존_돌턴,25,,종려주일,22,,원주율,23,,,,,,
김주하,Mon,58,,나라장터,25,,강남구_병,25,,김한근_(1963년),24,,표준_편차,22,,전두환,23,,,,,,
윤태영_(배우),Wed,57,,드미트리_멘델레예프,25,,국제전화_국가_번호,25,,나무위키,24,,프랑스,22,,정보과학,23,,,,,,
로마_숫자,Mon,57,,문화대혁명,25,,미국,25,,레_미제라블,24,,,,,파이썬,23,,,,,,
아일릿,Wed,57,,비례대표제,25,,싱가포르,25,,손준호_(축구_선수),24,,,,,2026년_FIFA_월드컵,22,,,,,,
대한민국_제21대_국회의원_선거,Thu,57,,삼체_(소설),25,,아카데미상,25,,이순신,24,,,,,TCP/UDP의_포트_목록,22,,,,,,
대한민국_제22대_국회의원_선거,Thu,57,,삼체_문제,25,,온실_기체,25,,GPT_(언어_모델),23,,,,,대한민국_제22대_국회의원_선거_여론_조사,22,,,,,,
로마_숫자,Tue,57,,스테아르산,25,,유니코드,25,,TCP/UDP의_포트_목록,23,,,,,려욱,22,,,,,,
국가별_국가_코드_목록,Fri,56,,신사임당,25,,조두순_사건,25,,국제단위계,23,,,,,메타버스,22,,,,,,
한동훈_(법조인),Wed,56,,용인시_정,25,,존_뉴랜즈,25,,노자,23,,,,,민족대표_33인,22,,,,,,
ASCII,Tue,56,,원주율,25,,파묘,25,,대한민국_제21대_국회의원_선거_비례대표_배분_방법,23,,,,,밀도,22,,,,,,
카카오톡,Tue,56,,트위터,25,,고조선,24,,알리익스프레스,23,,,,,비례대표제,22,,,,,,
카카오톡,Thu,55,,한컴_타자연습,25,,김성옥_(배우),24,,알베르트_아인슈타인,23,,,,,순자,22,,,,,,
ChatGPT,Wed,55,,고양이,24,,버닝썬_게이트,24,,앙투안_라부아지에,23,,,,,싱가포르,22,,,,,,
머라이어_캐리,Tue,55,,그레타_리,24,,세종특별자치시_갑,24,,웅도_(서산시),23,,,,,아프리카아시아어족,22,,,,,,
제곱미터,Tue,55,,김수현_(1988년),24,,수지맞은_우리,24,,정규_분포,23,,,,,정용진,22,,,,,,
류준열,Fri,55,,김신영,24,,윤재옥,24,,태양계,23,,,,,정은채,22,,,,,,
서유리,Sun,55,,도_(각도),24,,젠슨_황,24,,튀르키예,23,,,,,주술회전,22,,,,,,
오지혜,Tue,54,,부산_수영구의_국회의원,24,,증강_현실,24,,대한간호조무사협회,22,,,,,착용_컴퓨터,22,,,,,,
정우택_(1953년),Thu,54,,소프트웨어,24,,지구,24,,로버트_에번스,22,,,,,키루스_2세_보졸그,22,,,,,,
정보화_사회,Wed,54,,양문석,24,,핀터레스트,24,,박상돈,22,,,,,피도_눈물도_없이_(드라마),22,,,,,,
단군,Mon,54,,업비트,24,,화성시_을,24,,우리은행,22,,,,,,,,,,,,
이우리,Sat,54,,연합뉴스,24,,가상_현실,23,,정대세,22,,,,,,,,,,,,
정보화_시대,Mon,54,,최성은,24,,개혁신당_(2024년),23,,치지직,22,,,,,,,,,,,,
착용_컴퓨터,Mon,54,,춘분,24,,김구,23,,파묘,22,,,,,,,,,,,,
그림판,Tue,54,,현종_(고려),24,,김부겸,23,,표준_편차,22,,,,,,,,,,,,
CSS,Mon,53,,DNA,23,,꼬마버스_타요의_등장인물_목록,23,,프랜시스_스콧_키_브리지_(볼티모어),22,,,,,,,,,,,,
대한민국_제21대_국회의원_선거,Mon,53,,경복궁,23,,드미트리_멘델레예프,23,,홍콩,22,,,,,,,,,,,,
에펨코리아,Fri,53,,계산기,23,,서울특별시,23,,화성시_을,22,,,,,,,,,,,,
조국_(법학자),Wed,53,,구글_클래스룸,23,,알리익스프레스,23,,,,,,,,,,,,,,,
권순일_(법조인),Thu,52,,기계_번역,23,,용인시_정,23,,,,,,,,,,,,,,,
정보화_사회,Tue,52,,독일,23,,큐넷,23,,,,,,,,,,,,,,,
남희석,Mon,52,,마이크로미터,23,,공자,22,,,,,,,,,,,,,,,
정보화_사회,Fri,52,,박지은_(작가),23,,국제_기념일,22,,,,,,,,,,,,,,,
김준형_(교수),Wed,52,,산소,23,,기업의_사회적_책임,22,,,,,,,,,,,,,,,
조국혁신당,Sun,52,,세월호_침몰_사고,23,,대한민국_제21대_국회의원_선거_비례대표_배분_방법,22,,,,,,,,,,,,,,,
다음,Mon,52,,손범규_(아나운서),23,,물,22,,,,,,,,,,,,,,,
화성시의_국회의원,Sat,51,,에드윈_허블,23,,성완종,22,,,,,,,,,,,,,,,
